"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Bandakar","906861$13.56%906.9k","49.90%","-","60.60%","236.9",""
"Furckinstein","710306$10.62%710.3k","53.98%","-","46.93%","185.6",""
"Darunor","632992$9.47%633.0k","45.86%","-","39.56%","165.4",""
"Danty","419879$6.28%419.9k","43.23%","-","28.53%","109.7",""
"Trike","263288$3.94%263.3k","24.02%","-","15.01%","68.8",""
"Akecheta","257144$3.85%257.1k","19.94%","-","19.98%","67.2",""
"Muhhgi","249259$3.73%249.3k","22.97%","-","15.29%","65.1",""
"Flatzz","236218$3.53%236.2k","33.55%","-","17.51%","61.7",""
"Changó","191522$2.86%191.5k","15.00%","-","16.03%","50.0",""
"Deadstrike","186709$2.79%186.7k","5.73%","61","15.59%","48.8",""
"Overbit","181658$2.72%181.7k","9.32%","61","12.83%","47.5",""
"Minuteman","167770$2.51%167.8k","7.36%","-","14.88%","43.8",""
"Kirilov","161182$2.41%161.2k","8.33%","64","13.15%","42.1",""
"Dankling","150206$2.25%150.2k","4.91%","56","12.86%","39.2",""
"Chainguin","133205$1.99%133.2k","12.13%","-","12.45%","34.8",""
"Trii","131242$1.96%131.2k","6.70%","63","10.79%","34.3",""
"Deyn","105430$1.58%105.4k","13.14%","-","4.51%","27.5",""
"Hoebowjoe","96595$1.44%96.6k","8.66%","-","3.94%","25.2",""
"Milku","92260$1.38%92.3k","15.03%","65","2.54%","24.1",""
"Saphex","87608$1.31%87.6k","8.76%","60","1.87%","22.9",""
"Mexius","86115$1.29%86.1k","10.38%","-","2.73%","22.5",""
"Phugoid","84526$1.26%84.5k","10.34%","-","3.80%","22.1",""
"Jiero","78443$1.17%78.4k","10.81%","66","3.13%","20.5",""
"Cavander","75314$1.13%75.3k","12.17%","62","2.91%","19.7",""
"Tazdink","74845$1.12%74.8k","12.50%","55","2.18%","19.6",""
"Grimmeat","72172$1.08%72.2k","15.01%","58","3.52%","18.9",""
"Eighchbar","69610$1.04%69.6k","6.24%","55","1.33%","18.2",""
"Fossett","68414$1.02%68.4k","9.68%","63","2.76%","17.9",""
"Derka","67758$1.01%67.8k","15.21%","64","1.18%","17.7",""
"Melven","65484$0.98%65.5k","13.70%","61","2.88%","17.1",""
"Pythagorean","63645$0.95%63.6k","8.24%","-","2.24%","16.6",""
"Funk","63548$0.95%63.5k","12.36%","60","2.15%","16.6",""
"Claudiu","60801$0.91%60.8k","10.94%","-","1.33%","15.9",""
"Valara","60055$0.90%60.1k","9.11%","60","0.95%","15.7",""
"Hii","54733$0.82%54.7k","9.77%","-","2.33%","14.3",""
"Ultimecia","53629$0.80%53.6k","8.09%","-","1.19%","14.0",""
"Necrohealya","53159$0.80%53.2k","6.50%","-","1.90%","13.9",""
"Grimseeker","50392$0.75%50.4k","15.34%","64","1.11%","13.2",""
"Mogs","50228$0.75%50.2k","13.12%","62","1.42%","13.1",""
"Nakur","36607$0.55%36.6k","14.97%","-","0.00%","9.6",""
"Pemberstone","33403$0.50%33.4k","2.97%","57","2.95%","8.7",""
"Thora","1382$0.02%1.4k","-","60","0.00%","0.4",""
"Tsukushî","604$0.01%604.0","-","60","0.00%","0.2",""
