"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"54","Flatzz","969770$4.69%969.8k","63","47","68.94%","310.7",""
"57","Changó","930034$4.49%930.0k","65","53","63.08%","298.0",""
"65","Impervious","900014$4.35%900.0k","62","62","65.85%","288.4",""
"46","Overbit","886010$4.28%886.0k","61","67","68.56%","283.9",""
"56","Deadstrike","883925$4.27%883.9k","62","72","65.08%","283.2",""
"65","Ultimecia","882614$4.27%882.6k","-","60","58.99%","282.8",""
"47","Grimseeker","829141$4.01%829.1k","64","54","69.08%","265.7",""
"34","Chainguin","817463$3.95%817.5k","64","35","57.88%","261.9",""
"62","Dietolive","782888$3.78%782.9k","61","68","55.34%","250.8",""
"64","Valara","773635$3.74%773.6k","63","60","57.21%","247.9",""
"53","Akecheta","755563$3.65%755.6k","-","46","57.54%","242.1",""
"52","Mogs","741438$3.58%741.4k","-","51","52.53%","237.6",""
"55","Cavander","735206$3.55%735.2k","62","57","53.97%","235.6",""
"64","Jiero","731820$3.54%731.8k","67","55","68.56%","234.5",""
"52","Trike","728612$3.52%728.6k","-","46","59.60%","233.4",""
"45","Hoebowjoe","721598$3.49%721.6k","63","39","56.90%","231.2",""
"49","Kirilov","721334$3.49%721.3k","65","43","50.24%","231.1",""
"42","Trii","687093$3.32%687.1k","-","37","56.22%","220.1",""
"61","Mexius","651637$3.15%651.6k","-","52","57.20%","208.8",""
"37","Saphex","621458$3.00%621.5k","-","48","49.40%","199.1",""
"40","Minuteman","557815$2.70%557.8k","62","55","46.22%","178.7",""
"53","Fossett","551687$2.67%551.7k","64","45","49.38%","176.8",""
"63","Pemberstone","548564$2.65%548.6k","59","65","52.03%","175.8",""
"27","Crow","544371$2.63%544.4k","57","51","39.32%","174.4",""
"16","Claudiu","519339$2.51%519.3k","-","16","42.97%","166.4",""
"33","Bandakar","472512$2.28%472.5k","-","30","74.47%","151.4",""
"49","Melven","408418$1.97%408.4k","-","52","24.57%","130.9",""
"52","Crox","392636$1.90%392.6k","-","57","79.17%","125.8",""
"31","Mementomory","361788$1.75%361.8k","58","29","39.37%","115.9",""
"40","Darunor","299976$1.45%300.0k","-","41","62.13%","96.1",""
"17","Chingu","159989$0.77%160.0k","-","45","15.83%","51.3",""
"97","Ghazan","94301$0.46%94.3k","63","97","11.58%","30.2",""
"97","Tazdink","12602$0.06%12.6k","59","98","3.02%","4.0",""
"91","Phugoid","9389$0.05%9.4k","-","90","2.27%","3.0",""
"95","Nakur","3734$0.02%3.7k","65","94","1.61%","1.2",""
"-","Maruke","883$0.00%883.0","57","-","0.00%","0.3",""
"95","Gonz","705$0.00%705.0","65","95","0.65%","0.2",""
"-","Pythagorean","409$0.00%409.0","63","-","0.00%","0.1",""
"95","Milku","117$0.00%117.0","65","95","0.00%","0.0",""
