"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"63","Phugoid","660583$12.11%660.6k","26.60%","-","58","67.14%","211.6",""
"73","Milku","622801$11.42%622.8k","32.87%","65","68","83.10%","199.5",""
"47","Deyn","610528$11.19%610.5k","20.31%","64","41","44.75%","195.6",""
"65","Pythagorean","566678$10.39%566.7k","24.43%","63","71","61.21%","181.6",""
"67","Nakur","557798$10.23%557.8k","39.13%","65","62","70.63%","178.7",""
"66","Eighchbar","556464$10.20%556.5k","23.54%","58","82","70.28%","178.3",""
"34","Gonz","500069$9.17%500.1k","14.26%","65","29","38.78%","160.2",""
"27","Ghazan","452269$8.29%452.3k","17.96%","63","24","33.76%","144.9",""
"11","Maruke","253714$4.65%253.7k","39.08%","57","23","34.33%","81.3",""
"19","Tazdink","246026$4.51%246.0k","15.31%","59","29","24.61%","78.8",""
"78","Hoebowjoe","33654$0.62%33.7k","-","63","79","1.44%","10.8",""
"66","Impervious","28297$0.52%28.3k","21.55%","62","63","45.53%","9.1",""
"66","Flatzz","26108$0.48%26.1k","15.67%","63","63","43.78%","8.4",""
"58","Pemberstone","24747$0.45%24.7k","21.43%","59","62","4.74%","7.9",""
"82","Ultimecia","23818$0.44%23.8k","37.57%","-","82","4.49%","7.6",""
"54","Bandakar","21546$0.40%21.5k","18.99%","-","52","26.36%","6.9",""
"53","Darunor","21310$0.39%21.3k","21.51%","-","68","3.62%","6.8",""
"79","Mogs","19545$0.36%19.5k","-","-","79","1.00%","6.3",""
"49","Changó","17792$0.33%17.8k","32.39%","65","50","40.86%","5.7",""
"73","Overbit","17543$0.32%17.5k","13.75%","61","76","2.77%","5.6",""
"65","Trike","16619$0.30%16.6k","26.10%","-","61","33.30%","5.3",""
"59","Akecheta","15564$0.29%15.6k","34.22%","-","57","41.72%","5.0",""
"74","Deadstrike","15257$0.28%15.3k","28.39%","62","76","6.46%","4.9",""
"92","Grimseeker","12398$0.23%12.4k","1.38%","64","92","0.96%","4.0",""
"68","Dietolive","12355$0.23%12.4k","22.64%","61","68","25.23%","4.0",""
"75","Valara","12226$0.22%12.2k","-","63","74","0.67%","3.9",""
"68","Kirilov","11424$0.21%11.4k","26.75%","65","67","3.90%","3.7",""
"73","Cavander","11398$0.21%11.4k","35.64%","62","72","0.00%","3.7",""
"60","Trii","10627$0.19%10.6k","16.42%","-","59","2.73%","3.4",""
"52","Fossett","10217$0.19%10.2k","-","64","52","0.70%","3.3",""
"80","Claudiu","10137$0.19%10.1k","-","-","79","1.14%","3.2",""
"70","Mexius","9329$0.17%9.3k","7.83%","-","70","2.16%","3.0",""
"79","Saphex","9071$0.17%9.1k","-","-","78","0.66%","2.9",""
"77","Crow","8236$0.15%8.2k","19.40%","57","80","0.00%","2.6",""
"58","Mementomory","7488$0.14%7.5k","-","58","54","1.13%","2.4",""
"44","Crox","7187$0.13%7.2k","13.96%","-","45","0.70%","2.3",""
"90","Jiero","5309$0.10%5.3k","-","67","88","0.00%","1.7",""
"47","Chainguin","5107$0.09%5.1k","21.16%","64","47","0.61%","1.6",""
"-","Minuteman","1248$0.02%1.2k","0.16%","62","-","0.00%","0.4",""
"25","Chingu","737$0.01%737.0","-","-","28","0.00%","0.2",""
"-","Melven","570$0.01%570.0","-","-","-","0.00%","0.2",""
