"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"61","Deyn","1186916$12.19%1.19m","26.48%","-","62","42.79%","207.2",""
"60","Pythagorean","998354$10.25%998.4k","39.37%","-","63","71.70%","174.3",""
"62","Enders","951965$9.78%952.0k","29.14%","67","69","54.29%","166.2",""
"57","Eighchbar","870287$8.94%870.3k","35.88%","66","66","72.19%","151.9",""
"34","Wangcake","864743$8.88%864.7k","38.42%","-","42","71.47%","151.0",""
"59","Milku","848841$8.72%848.8k","39.34%","-","58","79.18%","148.2",""
"49","Tazdink","835415$8.58%835.4k","18.87%","-","50","45.09%","145.8",""
"29","Gonz","739025$7.59%739.0k","26.50%","67","31","30.50%","129.0",""
"39","Ghazan","620147$6.37%620.1k","25.08%","-","40","25.99%","108.3",""
"38","Necrohealya","619460$6.36%619.5k","41.42%","-","40","58.90%","108.1",""
"42","Slecht","601828$6.18%601.8k","42.55%","64","60","63.56%","105.1",""
"92","Hoebowjoe","77034$0.79%77.0k","-","-","93","6.78%","13.4",""
"80","Ultimecia","46593$0.48%46.6k","28.13%","-","80","6.16%","8.1",""
"77","Mogs","40704$0.42%40.7k","-","65","78","3.15%","7.1",""
"83","Bandakar","35937$0.37%35.9k","13.63%","-","83","5.99%","6.3",""
"75","Akecheta","35538$0.36%35.5k","31.75%","-","74","43.11%","6.2",""
"63","Fossett","35209$0.36%35.2k","14.05%","-","64","2.28%","6.1",""
"72","Tumblebug","32472$0.33%32.5k","-","-","77","2.63%","5.7",""
"23","Pemberstone","29656$0.30%29.7k","47.86%","-","25","3.94%","5.2",""
"63","Flatzz","26001$0.27%26.0k","29.90%","-","61","39.96%","4.5",""
"53","Changó","22607$0.23%22.6k","41.37%","67","50","33.04%","3.9",""
"53","Furckinstein","20609$0.21%20.6k","36.24%","-","54","23.66%","3.6",""
"61","Valara","19480$0.20%19.5k","-","-","64","2.37%","3.4",""
"72","Dietolive","18326$0.19%18.3k","10.36%","-","74","0.00%","3.2",""
"56","Danty","18247$0.19%18.2k","39.50%","-","54","22.63%","3.2",""
"78","Overbit","17738$0.18%17.7k","25.10%","-","79","3.12%","3.1",""
"94","Darunor","16863$0.17%16.9k","8.78%","-","91","1.52%","2.9",""
"69","Cavander","15864$0.16%15.9k","6.48%","-","70","0.00%","2.8",""
"27","Guki","13634$0.14%13.6k","-","63","36","0.83%","2.4",""
"68","Crox","12385$0.13%12.4k","19.35%","-","66","1.13%","2.2",""
"86","Jiero","12224$0.13%12.2k","6.55%","-","86","0.92%","2.1",""
"84","Ishney","11062$0.11%11.1k","7.38%","-","85","0.69%","1.9",""
"71","Deadstrike","10093$0.10%10.1k","51.92%","-","73","5.23%","1.8",""
"72","Mexius","9581$0.10%9.6k","10.79%","-","72","0.00%","1.7",""
"95","Spicyhot","6504$0.07%6.5k","-","66","95","0.00%","1.1",""
"66","Kirilov","6236$0.06%6.2k","48.82%","-","67","3.24%","1.1",""
"13","Dirtÿ","5042$0.05%5.0k","-","-","21","0.51%","0.9",""
"58","Minuteman","3010$0.03%3.0k","49.64%","-","62","0.00%","0.5",""
"64","Chainguin","2102$0.02%2.1k","50.26%","-","68","0.00%","0.4",""
"35","Dankling","703$0.01%703.0","64.85%","64","38","0.00%","0.1",""
