"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"72","Furckinstein","1006867$5.51%1.01m","68","66","70.71%","407.5",""
"81","Ultimecia","900871$4.93%900.9k","72","72","69.09%","364.6",""
"60","Dohvyk","895998$4.90%896.0k","-","54","68.90%","362.7",""
"69","Stankdik","866167$4.74%866.2k","71","64","63.07%","350.6",""
"83","Dietolive","809577$4.43%809.6k","70","79","55.40%","327.7",""
"51","Akecheta","789123$4.32%789.1k","-","46","68.33%","319.4",""
"50","Flatzz","780335$4.27%780.3k","-","47","69.14%","315.9",""
"70","Parisshelton","727298$3.98%727.3k","70","64","56.88%","294.4",""
"71","Duhd","687238$3.76%687.2k","-","67","52.31%","278.2",""
"49","Bandakar","673043$3.68%673.0k","-","41","82.36%","272.4",""
"62","Irisviiel","670403$3.67%670.4k","72","51","57.54%","271.4",""
"80","Jiero","663142$3.63%663.1k","-","71","63.85%","268.4",""
"54","Gaunz","660383$3.61%660.4k","68","57","58.51%","267.3",""
"32","Dïrty","618878$3.39%618.9k","63","41","76.97%","250.5",""
"53","Changó","615812$3.37%615.8k","-","46","65.31%","249.3",""
"70","Guliveris","610363$3.34%610.4k","-","64","76.66%","247.1",""
"27","Deadstrike","588798$3.22%588.8k","69","27","67.02%","238.3",""
"45","Joepesci","588336$3.22%588.3k","-","73","56.28%","238.1",""
"44","Jáx","578411$3.16%578.4k","66","52","54.79%","234.1",""
"33","Synergy","575762$3.15%575.8k","68","36","62.68%","233.0",""
"47","Dryrun","564277$3.09%564.3k","68","48","60.11%","228.4",""
"42","Urumettu","556976$3.05%557.0k","67","44","63.51%","225.4",""
"47","Seadub","504936$2.76%504.9k","70","39","49.11%","204.4",""
"26","Tumblebug","494420$2.71%494.4k","70","19","46.00%","200.1",""
"84","Pemberstone","466295$2.55%466.3k","-","84","72.55%","188.7",""
"66","Crox","407676$2.23%407.7k","-","57","74.56%","165.0",""
"22","Ishney","398710$2.18%398.7k","73","13","50.07%","161.4",""
"53","Fossett","379203$2.07%379.2k","71","38","40.06%","153.5",""
"71","Ghazan","178764$0.98%178.8k","-","67","21.24%","72.4",""
"95","Necrohealya","7510$0.04%7.5k","71","95","1.45%","3.0",""
"97","Slecht","6242$0.03%6.2k","69","97","3.79%","2.5",""
"-","Pythagorean","2540$0.01%2.5k","70","-","0.68%","1.0",""
"-","Wangcake","2536$0.01%2.5k","71","-","0.00%","1.0",""
"-","Deyn","863$0.00%863.0","70","-","0.00%","0.3",""
"95","Tauraheim","227$0.00%227.0","-","95","0.00%","0.1",""
"-","Milku","5$0.00%5.0","71","-","0.00%","0.0",""
