"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Guliveris","1076196$9.84%1.08m","56.71%","-","41.74%","229.5",""
"Pemberstone","1036206$9.48%1.04m","58.14%","-","37.66%","220.9",""
"Furckinstein","606592$5.55%606.6k","54.75%","-","32.95%","129.3",""
"Bandakar","579469$5.30%579.5k","50.77%","-","27.37%","123.5",""
"Garglegop","462559$4.23%462.6k","48.32%","-","20.84%","98.6",""
"Mortifier","441061$4.03%441.1k","58.48%","-","28.15%","94.0",""
"Akecheta","365535$3.34%365.5k","32.89%","-","15.57%","77.9",""
"Ultimecia","360837$3.30%360.8k","51.06%","-","13.43%","76.9",""
"Dohvyk","356967$3.26%357.0k","30.06%","-","15.26%","76.1",""
"Dietolive","350083$3.20%350.1k","46.76%","-","13.27%","74.6",""
"Trennard","337506$3.09%337.5k","33.65%","-","12.23%","72.0",""
"Melow","328528$3.00%328.5k","14.42%","70","10.61%","70.0",""
"Renke","317626$2.90%317.6k","28.05%","-","11.76%","67.7",""
"The Prophet Skeram","272856$2.50%272.9k","11.70%","-","1.58%","58.2",""
"Gaunz","239339$2.19%239.3k","20.89%","-","10.34%","51.0",""
"Thoominn","238365$2.18%238.4k","17.82%","-","10.67%","50.8",""
"Stankdik","235839$2.16%235.8k","19.76%","-","8.37%","50.3",""
"Duhd","212013$1.94%212.0k","11.19%","-","9.83%","45.2",""
"Synergy","211231$1.93%211.2k","21.54%","-","7.55%","45.0",""
"Nimda","193325$1.77%193.3k","21.05%","-","8.12%","41.2",""
"Idunrunnin","172992$1.58%173.0k","16.62%","-","6.42%","36.9",""
"Deyn","171230$1.57%171.2k","16.99%","-","7.19%","36.5",""
"Johnnyxo","163045$1.49%163.0k","8.66%","65","7.21%","34.8",""
"Ratshot","159196$1.46%159.2k","14.02%","-","6.08%","33.9",""
"Ghazan","158948$1.45%158.9k","17.91%","-","8.65%","33.9",""
"Seraf","149151$1.36%149.2k","15.23%","-","6.14%","31.8",""
"Shamallama","146679$1.34%146.7k","18.09%","72","6.29%","31.3",""
"Eighchbar","141527$1.29%141.5k","12.46%","71","6.22%","30.2",""
"Olom","138987$1.27%139.0k","28.44%","-","6.83%","29.6",""
"Lumieux","137994$1.26%138.0k","10.04%","72","5.36%","29.4",""
"Wangcake","134437$1.23%134.4k","12.42%","77","5.92%","28.7",""
"Drgupta","133362$1.22%133.4k","24.85%","71","5.69%","28.4",""
"Melven","132401$1.21%132.4k","9.74%","-","6.57%","28.2",""
"Slecht","128838$1.18%128.8k","13.42%","71","4.93%","27.5",""
"Tauraheim","124119$1.14%124.1k","10.54%","74","5.31%","26.5",""
"Ishney","117618$1.08%117.6k","24.61%","-","8.48%","25.1",""
"Irisviiel","117372$1.07%117.4k","21.15%","-","6.71%","25.0",""
"Oyster","117096$1.07%117.1k","19.09%","-","4.59%","25.0",""
"Pythagorean","107609$0.98%107.6k","10.31%","-","6.03%","22.9",""
"Kasako","27592$0.25%27.6k","20.97%","65","0.55%","5.9",""
"Parisshelton","27522$0.25%27.5k","11.87%","-","1.41%","5.9",""
"Qiraji Champion","3533$0.03%3.5k","23.16%","-","0.00%","0.8",""
"Plx","257$0.00%257.0","-","76","0.00%","0.1",""
"Tedflanders","95$0.00%95.0","-","68","0.00%","0.0",""
"Jorvie","36$0.00%36.0","5.26%","9","0.00%","0.0",""
"Khardrune","5$0.00%5.0","70.59%","70","0.00%","0.0",""
