"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"34","Ultimecia","974280$6.68%974.3k","61","41","68.89%","235.5",""
"19","Jiero","941355$6.46%941.4k","63","28","64.69%","227.5",""
"25","Mexius","835488$5.73%835.5k","-","42","61.96%","201.9",""
"24","Mogs","801002$5.49%801.0k","59","40","51.27%","193.6",""
"23","Melven","792409$5.43%792.4k","61","27","49.12%","191.5",""
"10","Kirilov","754856$5.18%754.9k","-","19","55.23%","182.5",""
"15","Valara","740443$5.08%740.4k","-","27","51.17%","179.0",""
"20","Dietolive","739812$5.07%739.8k","-","40","47.87%","178.8",""
"12","Grimseeker","708578$4.86%708.6k","61","25","56.75%","171.3",""
"14","Cavander","697935$4.79%697.9k","60","20","49.46%","168.7",""
"19","Fossett","650705$4.46%650.7k","60","20","59.92%","157.3",""
"10","Biccboii","628973$4.31%629.0k","60","12","50.95%","152.0",""
"24","Trike","626048$4.29%626.0k","-","36","54.60%","151.3",""
"6","Chainguin","596937$4.09%596.9k","59","13","53.37%","144.3",""
"7","Deadstrike","566215$3.88%566.2k","-","18","50.75%","136.9",""
"7","Trii","476317$3.27%476.3k","61","10","46.73%","115.1",""
"16","Flatzz","463963$3.18%464.0k","56","28","52.10%","112.1",""
"5","Parsonbrown","400018$2.74%400.0k","52","24","52.89%","96.7",""
"11","Bandakar","391211$2.68%391.2k","58","17","62.90%","94.6",""
"17","Akecheta","354359$2.43%354.4k","-","19","58.84%","85.6",""
"9","Kade","302253$2.07%302.3k","-","16","82.66%","73.1",""
"22","Darunor","299946$2.06%299.9k","-","21","37.90%","72.5",""
"3","Ishney","293595$2.01%293.6k","52","12","60.34%","71.0",""
"8","Furckinstein","240741$1.65%240.7k","59","12","51.45%","58.2",""
"7","Crox","238363$1.63%238.4k","60","8","67.52%","57.6",""
"94","Phugoid","32813$0.23%32.8k","61","94","9.19%","7.9",""
"92","Montgomery","24556$0.17%24.6k","49","-","6.98%","5.9",""
"89","Pythagorean","3854$0.03%3.9k","59","89","1.29%","0.9",""
"88","Gonz","1966$0.01%2.0k","-","87","1.52%","0.5",""
"-","Disk","961$0.01%961.0","60","-","0.00%","0.2",""
"85","Nakur","541$0.00%541.0","-","81","1.23%","0.1",""
"-","Ghazan","48$0.00%48.0","58","-","0.00%","0.0",""
"99","Milku","18$0.00%18.0","60","99","0.00%","0.0",""
"-","Necrohealya","7$0.00%7.0","62","-","0.00%","0.0",""
